PA_ID,PA_DC,PA_CPX,PA_CTF,PA_TOTAL,PA_IDADEMX,PA_IDADEMN,PA_SEXO
010105013,SESSAO DE DANCA CIRCULAR,1,01,0.0,130.0,0.0,A
010105014,SESSAO DE TERMALISMO,1,01,0.0,130.0,0.0,A
010202001,VIGILANCIA DA SITUACAO DE SAUDE DOS TRABALHADORES,2,05,0.0,999.0,999.0,A
010202002,ATIVIDADE DE EDUCACAO EM SAUDE DO TRABALHADOR,2,05,0.0,130.0,14.0,A
010202003,INSPECAO SANITARIA EM SAUDE DO TRABALHADOR,2,05,0.0,999.0,999.0,A
010202004,INSPECAO SANITARIA EM SAUDE DO TRABALHADOR PARA AVALIACAO DE,2,05,0.0,999.0,999.0,A
010202005,BUSCA ATIVA DE CASOS SUSPEITOS DE DOENCAS OU AGRAVOS RELACIO,2,05,0.0,130.0,5.0,A
010202006,APOIO INSTITUCIONAL DE VIGILANCIA EM SAUDE DO TRABALHADOR (V,2,05,0.0,999.0,999.0,A
010202007,ATIVIDADES COM GRUPOS NA TEMATICA DE SAUDE DO TRABALHADOR,2,05,0.0,999.0,999.0,A
010202008,INSPECAO SANITARIA EM SAUDE DO TRABALHADOR PARA MAPEAMENTO D,2,05,0.0,999.0,999.0,A
010202009,INSPECAO SANITARIA EM SAUDE DO TRABALHADOR PARA INVESTIGACAO,2,05,0.0,999.0,999.0,A
010202010,INSPECAO SANITARIA EM SAUDE DO TRABALHADOR PARA SUBSIDIAR ES,2,05,0.0,999.0,999.0,A
010202011,INSPECAO SANITARIA EM SAUDE DO TRABALHADOR PARA INVESTIGACAO,2,05,0.0,999.0,999.0,A
010202012,ACOES DE ARTICULACAO COM CONTROLE SOCIAL E REPRESENTANTES DE,2,05,0.0,999.0,999.0,A
010202013,ACOES INTER E INTRASSETORIAIS DE SAUDE DO TRABALHADOR,2,05,0.0,999.0,999.0,A
010202014,VIGILANCIA EM SAUDE DO TRABALHADOR NAS EMERGENCIAS EM SAUDE,2,05,0.0,999.0,999.0,A
020101001,AMNIOCENTESE,2,06,2.2,60.0,9.0,A
020101002,BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE,2,06,14.1,130.0,0.0,A
020101004,BIOPSIA DE ANUS E CANAL ANAL,2,06,18.46,130.0,0.0,A
020101006,BIOPSIA DE BEXIGA,2,06,41.68,130.0,0.0,A
020101007,BIOPSIA DE BOLSA ESCROTAL,2,06,18.33,130.0,0.0,A
020101008,BIOPSIA DE CONDUTO AUDITIVO EXTERNO,2,06,19.06,130.0,0.0,A
020101009,BIOPSIA DE CONJUNTIVA,2,06,31.1,130.0,0.0,A
020101010,BIOPSIA DE CORDAO ESPERMATICO (UNILATERAL),2,06,46.19,130.0,0.0,A
020101011,BIOPSIA DE CORNEA,2,06,68.62,130.0,0.0,A
020101015,BIOPSIA DE ENDOMETRIO,2,06,18.33,130.0,9.0,A
020101016,BIOPSIA DE ENDOMETRIO POR ASPIRACAO MANUAL INTRA-UTERINA,2,06,85.69,130.0,9.0,A
020101017,BIOPSIA DE EPIDIDIMO,2,06,46.19,130.0,10.0,A
020101018,BIOPSIA DE ESCLERA,2,06,68.62,130.0,0.0,A
020101019,BIOPSIA DE FARINGE/LARINGE,2,06,19.06,130.0,0.0,A
020101021,BIOPSIA DE FIGADO POR PUNCAO,2,06,71.15,130.0,0.0,A
020101022,BIOPSIA DE GANGLIO LINFATICO,2,06,46.19,130.0,0.0,A
020101023,BIOPSIA DE GLANDULA SALIVAR,2,06,31.27,130.0,0.0,A
020101024,"BIOPSIA DE IRIS, CORPO CILIAR, RETINA, COROIDE, VITREO E TUM",2,06,199.21,130.0,0.0,A
020101026,BIOPSIA DE LESAO DE PARTES MOLES (POR AGULHA / CEU ABERTO),2,06,114.36,130.0,0.0,A
020101027,BIOPSIA DE MEDULA OSSEA,2,06,200.0,130.0,0.0,A
020101028,BIOPSIA DE MUSCULO (A CEU ABERTO),2,06,18.33,130.0,0.0,A
020101029,BIOPSIA DE NERVO,2,06,30.06,130.0,0.0,A
020101030,BIOPSIA DE OSSO / CARTILAGEM DA CINTURA ESCAPULAR (POR AGULH,2,06,182.75,130.0,0.0,A
020101031,BIOPSIA DE OSSO / CARTILAGEM DA CINTURA PELVICA (POR AGULHA,2,06,183.39,130.0,0.0,A
020101032,BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO INFERIOR (POR AGULHA,2,06,188.78,130.0,0.0,A
020101033,BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO SUPERIOR (POR AGULHA,2,06,188.26,130.0,0.0,A
020101034,BIOPSIA DE OSSO DO CRANIO E DA FACE,2,06,23.99,130.0,0.0,A
020101035,BIOPSIA DE PALPEBRA,2,06,18.33,130.0,0.0,A
020101036,BIOPSIA DE PAVILHAO AURICULAR,2,06,14.66,130.0,0.0,A
020101037,BIOPSIA DE PELE E PARTES MOLES,2,06,25.83,130.0,0.0,A
020101038,BIOPSIA DE PENIS,2,06,18.33,130.0,0.0,A
020101039,BIOPSIA DE PIRAMIDE NASAL,2,06,18.33,130.0,0.0,A
020101040,BIOPSIA DE PLEURA (POR ASPIRACAO/AGULHA / PLEUROSCOPIA),2,06,113.68,130.0,0.0,A
020101041,BIOPSIA DE PROSTATA,2,06,202.81,130.0,10.0,A
020101043,BIOPSIA DE RIM POR PUNCAO,2,06,46.19,130.0,0.0,A
020101044,BIOPSIA DE SEIO PARANASAL,2,06,18.33,130.0,0.0,A
020101045,BIOPSIA DE SINOVIA,2,06,30.06,130.0,0.0,A
020101046,BIOPSIA DE TESTICULO,2,06,46.19,130.0,10.0,A
020101047,BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF,2,06,23.73,130.0,0.0,A
020101048,BIOPSIA DE URETER,2,06,46.19,130.0,0.0,A
020101049,BIOPSIA DE URETRA,2,06,46.19,130.0,0.0,A
020101050,BIOPSIA/PUNCAO DE VAGINA,2,06,18.33,130.0,0.0,A
020101051,BIOPSIA/PUNCAO DE VULVA,2,06,18.33,130.0,0.0,A
020101052,BIOPSIA DOS TECIDOS MOLES DA BOCA,2,06,21.56,130.0,0.0,A
020101054,BIOPSIA PERCUTANEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA,3,06,97.0,130.0,0.0,A
020101056,BIOPSIA/EXERESE DE NODULO DE MAMA,2,06,70.0,130.0,16.0,A
020101058,PUNCAO ASPIRATIVA DE MAMA POR AGULHA FINA,2,06,66.48,130.0,16.0,A
020101059,PUNCAO DE CISTERNA SUB-OCCIPITAL,2,06,7.04,130.0,0.0,A
020101060,PUNCAO DE MAMA POR AGULHA GROSSA,2,06,140.0,130.0,16.0,A
020101061,PUNCAO DE VAGINA,2,06,14.1,130.0,0.0,A
020101062,PUNCAO EXPLORADORA DO DEFERENTE,2,06,14.1,130.0,0.0,A
020101063,PUNCAO LOMBAR,2,06,7.04,130.0,0.0,A
020101064,PUNCAO P/ ESVAZIAMENTO,2,06,13.25,130.0,0.0,A
020101065,PUNCAO VENTRICULAR TRANSFONTANELA,2,06,7.04,4.0,0.0,A
020101066,BIOPSIA DO COLO UTERINO,2,06,18.33,130.0,12.0,A
020102001,COLETA DE LAVADO BRONCO-ALVEOLAR,2,06,2.8,130.0,0.0,A
020102002,COLETA DE LINFA PARA PESQUISA DE M. LEPRAE,1,01,0.0,130.0,0.0,A
020102003,COLETA DE MATERIAL DO COLO DE UTERO PARA EXAME CITOPATOLOGIC,1,01,0.0,130.0,10.0,A
020102004,COLETA DE MATERIAL PARA EXAME LABORATORIAL,1,01,0.0,130.0,0.0,A
020102005,COLETA DE SANGUE PARA TRIAGEM NEONATAL,1,01,0.0,0.0,0.0,A
020102006,TIPIFICACAO DO ALELO HLA-B,2,07,0.0,130.0,0.0,A
020201001,CLEARANCE OSMOLAR,2,06,3.51,130.0,0.0,A
020201002,DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO,2,06,2.01,130.0,0.0,A
020201003,DETERMINACAO DE CROMATOGRAFIA DE AMINOACIDOS,2,06,15.65,130.0,0.0,A
020201004,DETERMINACAO DE CURVA GLICEMICA (2 DOSAGENS),2,06,3.63,130.0,0.0,A
020201005,DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA ( 5,2,06,6.55,130.0,0.0,A
020201006,DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA (4,2,06,3.68,130.0,0.0,A
020201007,DETERMINACAO DE CURVA GLICEMICA CLASSICA (5 DOSAGENS),2,06,10.0,130.0,0.0,A
020201008,DETERMINACAO DE OSMOLARIDADE,2,06,3.51,130.0,0.0,A
020201009,DOSAGEM DE 5-NUCLEOTIDASE,2,06,3.51,130.0,0.0,A
020201010,DOSAGEM DE ACETONA,2,06,1.85,130.0,0.0,A
020201011,DOSAGEM DE ACIDO ASCORBICO,2,06,2.01,130.0,0.0,A
020201012,DOSAGEM DE ACIDO URICO,2,06,1.85,130.0,0.0,A
020201013,DOSAGEM DE ACIDO VANILMANDELICO,2,06,9.0,130.0,0.0,A
020201014,DOSAGEM DE ALDOLASE,2,06,3.68,130.0,0.0,A
020201015,DOSAGEM DE ALFA-1-ANTITRIPSINA,2,06,3.68,130.0,0.0,A
020201016,DOSAGEM DE ALFA-1-GLICOPROTEINA ACIDA,2,06,3.68,130.0,0.0,A
020201017,DOSAGEM DE ALFA-2-MACROGLOBULINA,2,06,3.68,130.0,0.0,A
020201018,DOSAGEM DE AMILASE,2,06,2.25,130.0,0.0,A
020201019,DOSAGEM DE AMONIA,2,06,3.51,130.0,0.0,A
020201020,DOSAGEM DE BILIRRUBINA TOTAL E FRACOES,2,06,2.01,130.0,0.0,A
020201021,DOSAGEM DE CALCIO,2,06,1.85,130.0,0.0,A
020201022,DOSAGEM DE CALCIO IONIZAVEL,2,06,3.51,130.0,0.0,A
020201023,DOSAGEM DE CAROTENO,2,06,2.01,130.0,0.0,A
020201025,DOSAGEM DE CERULOPLASMINA,2,06,3.68,130.0,0.0,A
020201026,DOSAGEM DE CLORETO,2,06,1.85,130.0,0.0,A
020201027,DOSAGEM DE COLESTEROL HDL,2,06,3.51,130.0,0.0,A
020201028,DOSAGEM DE COLESTEROL LDL,2,06,3.51,130.0,0.0,A
020201029,DOSAGEM DE COLESTEROL TOTAL,2,06,1.85,130.0,0.0,A
020201030,DOSAGEM DE COLINESTERASE,2,06,3.68,130.0,0.0,A
020201031,DOSAGEM DE CREATININA,2,06,1.85,130.0,0.0,A
020201032,DOSAGEM DE CREATINOFOSFOQUINASE (CPK),2,06,3.68,130.0,0.0,A
020201033,DOSAGEM DE CREATINOFOSFOQUINASE FRACAO MB,2,06,4.12,130.0,0.0,A
020201034,DOSAGEM DE DESIDROGENASE ALFA-HIDROXIBUTIRICA,2,06,3.51,130.0,0.0,A
020201035,DOSAGEM DE DESIDROGENASE GLUTAMICA,2,06,3.51,130.0,0.0,A
020201036,DOSAGEM DE DESIDROGENASE LATICA,2,06,3.68,130.0,0.0,A
020201037,DOSAGEM DE DESIDROGENASE LATICA (ISOENZIMAS FRACIONADAS),2,06,3.68,130.0,0.0,A
020201038,DOSAGEM DE FERRITINA,2,06,15.59,130.0,0.0,A
020201039,DOSAGEM DE FERRO SERICO,2,06,3.51,130.0,0.0,A
020201040,DOSAGEM DE FOLATO,2,06,15.65,130.0,0.0,A
020201041,DOSAGEM DE FOSFATASE ACIDA TOTAL,2,06,2.01,130.0,0.0,A
020201042,DOSAGEM DE FOSFATASE ALCALINA,2,06,2.01,130.0,0.0,A
020201043,DOSAGEM DE FOSFORO,2,06,1.85,130.0,0.0,A
020201044,DOSAGEM DE FRACAO PROSTATICA DA FOSFATASE ACIDA,2,06,2.01,130.0,0.0,A
020201045,DOSAGEM DE GALACTOSE,2,06,3.51,130.0,0.0,A
020201046,DOSAGEM DE GAMA-GLUTAMIL-TRANSFERASE (GAMA GT),2,06,3.51,130.0,0.0,A
020201047,DOSAGEM DE GLICOSE,2,06,1.85,130.0,0.0,A
020201048,DOSAGEM DE GLICOSE-6-FOSFATO DESIDROGENASE,2,06,3.68,130.0,0.0,A
020201049,DOSAGEM DE HAPTOGLOBINA,2,06,3.68,130.0,0.0,A
020201050,DOSAGEM DE HEMOGLOBINA GLICOSILADA,2,06,7.86,130.0,0.0,A
020201051,DOSAGEM DE HIDROXIPROLINA,2,06,3.68,130.0,0.0,A
020201052,DOSAGEM DE ISOMERASE-FOSFOHEXOSE,2,06,3.51,130.0,0.0,A
020201053,DOSAGEM DE LACTATO,2,06,3.68,130.0,0.0,A
020201054,DOSAGEM DE LEUCINO-AMINOPEPTIDASE,2,06,3.51,130.0,0.0,A
020201055,DOSAGEM DE LIPASE,2,06,2.25,130.0,0.0,A
020201056,DOSAGEM DE MAGNESIO,2,06,2.01,130.0,0.0,A
020201057,DOSAGEM DE MUCO-PROTEINAS,2,06,2.01,130.0,0.0,A
020201058,DOSAGEM DE PIRUVATO,2,06,3.68,130.0,0.0,A
020201059,DOSAGEM DE PORFIRINAS,2,06,3.51,130.0,0.0,A
020201060,DOSAGEM DE POTASSIO,2,06,1.85,130.0,0.0,A
020201061,DOSAGEM DE PROTEINAS TOTAIS,2,06,1.4,130.0,0.0,A
020201062,DOSAGEM DE PROTEINAS TOTAIS E FRACOES,2,06,1.85,130.0,0.0,A
020201063,DOSAGEM DE SODIO,2,06,1.85,130.0,0.0,A
020201064,DOSAGEM DE TRANSAMINASE GLUTAMICO-OXALACETICA (TGO),2,06,2.01,130.0,0.0,A
020201065,DOSAGEM DE TRANSAMINASE GLUTAMICO-PIRUVICA (TGP),2,06,2.01,130.0,0.0,A
020201066,DOSAGEM DE TRANSFERRINA,2,06,4.12,130.0,0.0,A
020201067,DOSAGEM DE TRIGLICERIDEOS,2,06,3.51,130.0,0.0,A
020201068,DOSAGEM DE TRIPTOFANO,2,06,3.51,130.0,0.0,A
020201069,DOSAGEM DE UREIA,2,06,1.85,130.0,0.0,A
020201070,DOSAGEM DE VITAMINA B12,2,06,15.24,130.0,0.0,A
020201071,ELETROFORESE DE LIPOPROTEINAS,2,06,3.68,130.0,0.0,A
020201072,ELETROFORESE DE PROTEINAS,2,06,4.42,130.0,0.0,A
020201073,GASOMETRIA (PH PCO2 PO2 BICARBONATO AS2 (EXCESSO OU DEFICIT,2,06,15.65,130.0,0.0,A
020201074,PROVA DA D-XILOSE,2,06,3.68,130.0,0.0,A
020201075,TESTE DE TOLERANCIA A INSULINA / HIPOGLICEMIANTES ORAIS,2,06,6.55,130.0,0.0,A
020201076,DOSAGEM DE 25 HIDROXIVITAMINA D,2,06,15.24,130.0,0.0,A
020201077,DETERMINACAO DE CREMATOCRITO NO LEITE HUMANO ORDENHADO,2,06,1.53,999.0,999.0,A
020201078,ACIDEZ TITULAVEL NO LEITE HUMANO (DORNIC),2,06,3.04,999.0,999.0,A
020201079,DOSAGEM DE PEPTiDEOS NATRIURETICOS TIPO B (BNP E NT-PROBNP),2,06,27.0,130.0,18.0,A
020202001,CITOQUIMICA HEMATOLOGICA,2,06,6.48,130.0,0.0,A
020202002,CONTAGEM DE PLAQUETAS,2,06,2.73,130.0,0.0,A
020202003,CONTAGEM DE RETICULOCITOS,2,06,2.73,130.0,0.0,A
020202004,DETERMINACAO DE CURVA DE RESISTENCIA GLOBULAR,2,06,2.73,130.0,0.0,A
020202005,DETERMINACAO DE ENZIMAS ERITROCITARIAS (CADA),2,06,2.73,130.0,0.0,A
020202006,DETERMINACAO DE SULFO-HEMOGLOBINA,2,06,2.73,130.0,0.0,A
020202007,DETERMINACAO DE TEMPO DE COAGULACAO,2,06,2.73,130.0,0.0,A
020202008,DETERMINACAO DE TEMPO DE LISE DA EUGLOBULINA,2,06,2.73,130.0,0.0,A
020202009,DETERMINACAO DE TEMPO DE SANGRAMENTO -DUKE,2,06,2.73,130.0,0.0,A
020202010,DETERMINACAO DE TEMPO DE SANGRAMENTO DE IVY,2,06,9.0,130.0,0.0,A
020202011,DETERMINACAO DE TEMPO DE SOBREVIDA DE HEMACIAS,2,06,5.79,130.0,0.0,A
020202012,DETERMINACAO DE TEMPO DE TROMBINA,2,06,2.85,130.0,0.0,A
020202013,DETERMINACAO DE TEMPO DE TROMBOPLASTINA PARCIAL ATIVADA (TTP,2,06,5.77,130.0,0.0,A
020202014,DETERMINACAO DE TEMPO E ATIVIDADE DA PROTROMBINA (TAP),2,06,2.73,130.0,0.0,A
020202015,DETERMINACAO DE VELOCIDADE DE HEMOSSEDIMENTACAO (VHS),2,06,2.73,130.0,0.0,A
020202016,DOSAGEM DE ANTICOAGULANTE CIRCULANTE,2,06,4.11,130.0,0.0,A
020202017,DOSAGEM DE ANTITROMBINA III,2,06,6.48,130.0,0.0,A
020202018,DOSAGEM DE FATOR II,2,06,5.31,130.0,0.0,A
020202019,DOSAGEM DE FATOR IX,2,06,7.61,130.0,0.0,A
020202020,DOSAGEM DE FATOR V,2,06,4.73,130.0,0.0,A
020202021,DOSAGEM DE FATOR VII,2,06,8.09,130.0,0.0,A
020202022,DOSAGEM DE FATOR VIII,2,06,6.63,130.0,0.0,A
020202023,DOSAGEM DE FATOR VIII (INIBIDOR),2,06,15.0,130.0,0.0,A
020202024,DOSAGEM DE FATOR VON WILLEBRAND (ANTIGENO),2,06,18.91,130.0,0.0,A
020202025,DOSAGEM DE FATOR X,2,06,6.66,130.0,0.0,A
020202026,DOSAGEM DE FATOR XI,2,06,9.11,130.0,0.0,A
020202027,DOSAGEM DE FATOR XII,2,06,10.51,130.0,0.0,A
020202028,DOSAGEM DE FATOR XIII,2,06,6.66,130.0,0.0,A
020202029,DOSAGEM DE FIBRINOGENIO,2,06,4.6,130.0,0.0,A
020202030,DOSAGEM DE HEMOGLOBINA,2,06,1.53,130.0,0.0,A
020202031,DOSAGEM DE HEMOGLOBINA - INSTABILIDADE A 37OC,2,06,2.73,130.0,0.0,A
020202032,DOSAGEM DE HEMOGLOBINA FETAL,2,06,2.73,130.0,0.0,A
020202033,DOSAGEM DE HEMOSSIDERINA,2,06,2.73,130.0,0.0,A
020202034,DOSAGEM DE PLASMINOGENIO,2,06,4.11,130.0,0.0,A
020202035,ELETROFORESE DE HEMOGLOBINA,2,06,5.41,130.0,0.0,A
020202036,"ERITROGRAMA (ERITROCITOS, HEMOGLOBINA, HEMATOCRITO)",2,06,2.73,130.0,0.0,A
020202037,HEMATOCRITO,2,06,1.53,130.0,0.0,A
020202038,HEMOGRAMA COMPLETO,2,06,4.11,130.0,0.0,A
020202039,LEUCOGRAMA,2,06,2.73,130.0,0.0,A
020202040,PESQUISA DE ATIVIDADE DO COFATOR DE RISTOCETINA,2,06,25.0,130.0,0.0,A
020202041,PESQUISA DE CELULAS LE,2,06,4.11,130.0,0.0,A
020202042,PESQUISA DE CORPUSCULOS DE HEINZ,2,06,2.73,130.0,0.0,A
020202043,PESQUISA DE FILARIA,2,06,2.73,130.0,0.0,A
020202044,PESQUISA DE HEMOGLOBINA S,2,06,2.73,130.0,0.0,A
020202045,PESQUISA DE PLASMODIOS POR GOTA ESPESSA E ESFREGACO,1,01,0.0,130.0,0.0,A
020202046,PESQUISA DE TRIPANOSSOMA,2,06,2.73,130.0,0.0,A
020202048,PROVA DE CONSUMO DE PROTROMBINA,2,06,4.11,130.0,0.0,A
020202049,PROVA DE RETRACAO DO COAGULO,2,06,2.73,130.0,0.0,A
020202050,PROVA DO LACO,2,06,2.73,130.0,0.0,A
020202051,RASTREIO P/ DEFICIENCIA DE ENZIMAS ERITROCITARIAS,2,06,2.73,130.0,0.0,A
020202052,TESTE DE AGREGACAO DE PLAQUETAS,2,06,12.0,130.0,0.0,A
020202053,TESTE DE HAM (HEMOLISE ACIDA),2,06,2.73,130.0,0.0,A
020202054,TESTE DIRETO DE ANTIGLOBULINA HUMANA (TAD),2,06,2.73,130.0,0.0,A
020202055,DOSAGEM DE PROTEINA C FUNCIONAL,2,04,75.0,60.0,9.0,A
020202056,DOSAGEM DE PROTEINA S FUNCIONAL,2,04,125.0,60.0,9.0,A
020202057,PESQUISA DE ANTICOAGULANTE LUPICO,2,04,110.0,60.0,9.0,A
020203001,CONTAGEM DE LINFOCITOS B,2,06,15.0,130.0,0.0,A
020203002,CONTAGEM DE LINFOCITOS CD4/CD8,2,06,15.0,130.0,0.0,A
020203003,CONTAGEM DE LINFOCITOS T TOTAIS,2,06,15.0,130.0,0.0,A
020203004,DETECCAO DE ACIDOS NUCLEICOS DO HIV-1 (QUALITATIVO),2,06,65.0,130.0,0.0,A
020203005,DETECCAO DE RNA DO ViRUS DA HEPATITE C (QUALITATIVO),2,06,96.0,130.0,0.0,A
020203006,DETERMINACAO DE COMPLEMENTO (CH50),2,06,9.25,130.0,0.0,A
020203007,DETERMINACAO DE FATOR REUMATOIDE,2,06,2.83,130.0,0.0,A
020203008,DETERMINACAO QUANTITATIVA DE PROTEiNA C REATIVA,2,06,9.25,130.0,0.0,A
020203009,DOSAGEM DE ALFA-FETOPROTEINA,2,06,15.06,130.0,0.0,A
020203010,DOSAGEM DE ANTIGENO PROSTATICO ESPECIFICO (PSA),2,06,16.42,130.0,0.0,A
020203011,DOSAGEM DE BETA-2-MICROGLOBULINA,2,06,13.55,130.0,0.0,A
020203012,DOSAGEM DE COMPLEMENTO C3,2,06,17.16,130.0,0.0,A
020203013,DOSAGEM DE COMPLEMENTO C4,2,06,17.16,130.0,0.0,A
020203014,DOSAGEM DE CRIOAGLUTININA,2,06,2.83,130.0,0.0,A
020203015,DOSAGEM DE IMUNOGLOBULINA A (IGA),2,06,17.16,130.0,0.0,A
020203016,DOSAGEM DE IMUNOGLOBULINA E (IGE),2,06,9.25,130.0,0.0,A
020203018,DOSAGEM DE IMUNOGLOBULINA M (IGM),2,06,17.16,130.0,0.0,A
020203019,DOSAGEM DE INIBIDOR DE C1-ESTERASE,2,06,9.25,130.0,0.0,A
020203020,DOSAGEM DE PROTEINA C REATIVA,2,06,2.83,130.0,0.0,A
020203022,IMUNOELETROFORESE DE PROTEINAS,2,06,17.16,130.0,0.0,A
020203023,IMUNOFENOTIPAGEM DE HEMOPATIAS MALIGNAS (POR MARCADOR),2,06,80.0,130.0,0.0,A
020203024,INTRADERMORREACAO COM DERIVADO PROTEICO PURIFICADO (PPD),1,01,0.0,130.0,0.0,A
020203025,PESQUISA DE ANTICORPO IGG ANTICARDIOLIPINA,2,06,10.0,130.0,0.0,A
020203026,PESQUISA DE ANTICORPO IGM ANTICARDIOLIPINA,2,06,10.0,130.0,0.0,A
020203027,PESQUISA DE ANTICORPOS ANTI-DNA,2,06,8.67,130.0,0.0,A
020203028,PESQUISA DE ANTICORPOS ANTI-HELICOBACTER PYLORI,2,06,17.16,130.0,0.0,A
020203029,PESQUISA DE ANTICORPOS ANTI-HIV-1 (WESTERN BLOT/IMUNOBLOT),2,06,85.0,130.0,1.0,A
020203030,PESQUISA DE ANTICORPOS ANTI-HIV-1 + HIV-2 (ELISA),2,06,10.0,130.0,0.0,A
020203031,PESQUISA DE ANTICORPOS ANTI-HTLV-1 + HTLV-2,2,06,18.55,130.0,0.0,A
020203032,PESQUISA DE ANTICORPOS ANTI-RIBONUCLEOPROTEINA (RNP),2,06,17.16,130.0,0.0,A
020203033,PESQUISA DE ANTICORPOS ANTI-SCHISTOSOMAS,2,06,5.74,130.0,0.0,A
020203034,PESQUISA DE ANTICORPOS ANTI-SM,2,06,17.16,130.0,0.0,A
020203035,PESQUISA DE ANTICORPOS ANTI-SS-A (RO),2,06,18.55,130.0,0.0,A
020203036,PESQUISA DE ANTICORPOS ANTI-SS-B (LA),2,06,18.55,130.0,0.0,A
020203037,PESQUISA DE ANTICORPOS ANTIADENOVIRUS,2,06,9.25,130.0,0.0,A
020203038,PESQUISA DE ANTICORPOS ANTIAMEBAS,2,06,10.0,130.0,0.0,A
020203039,PESQUISA DE ANTICORPOS ANTIASPERGILLUS,2,06,9.25,130.0,0.0,A
020203040,PESQUISA DE ANTICORPOS ANTIBRUCELAS,2,06,3.7,130.0,0.0,A
020203041,PESQUISA DE ANTICORPOS ANTICISTICERCO,2,06,5.83,130.0,0.0,A
020203042,PESQUISA DE ANTICORPOS ANTICLAMIDIA (POR IMUNOFLUORESCENCIA),2,06,10.0,130.0,0.0,A
020203043,PESQUISA DE ANTICORPOS ANTICORTEX SUPRARENAL,2,06,17.16,130.0,0.0,A
